codigo_eje;nombre_eje;coddisa;nomdisa;codred;codmicro;codigo_pre;nombre_pre;almtipo;red;diris;CATEGORIA;DISTRITO;MICRORED;RISS;NORTE;ESTE;BOLETEA
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;03;05;34079;C.S.M.C. SAN PEDRO DE LURIN;C;VILLA EL SALVADOR - LURIN - PACHACAMAC - PUCUSANA;LIMA SUR;I-3;LURIN;LURIN;LURIN Y BALNEARIOS;-12.18511;-76.96154;SI
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;30;00;040F01F01;BOTICA FARMAMINSA DIRIS LIMA SUR BOTICA MUNICIPAL PUCUSANA;C;NO PERTENECE A NINGUNA RED;LIMA SUR;;PUCUSANA;NO PERTENECE A NINGUNA MICRORED;LURIN Y BALNEARIOS;-12.46985;-76.75218;NO
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;30;00;040F02F01;BOTICA FARMAMINSA DIRIS LIMA SUR BOTICA MUNICIPAL LURIN;C;NO PERTENECE A NINGUNA RED;LIMA SUR;;LURIN;NO PERTENECE A NINGUNA MICRORED;LURIN Y BALNEARIOS;-12.274869;-76.871498;NO
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;30;00;040F03F01;BOTICA FARMAMINSA DIRIS LIMA SUR BOTICA MUNICIPAL SAN JUAN DE MIRAFLORES;C;NO PERTENECE A NINGUNA RED;LIMA SUR;;SAN JUAN DE MIRAFLORES;NO PERTENECE A NINGUNA MICRORED;SAN JUAN DE MIRAFLORES;-12.274869;-76.871498;NO
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;01;03;35252;C.S.M.C. SAN IGNACIO DE SURCO;C;BARRANCO - CHORRILLOS - SURCO;LIMA SUR;I-3;SANTIAGO DE SURCO;URBANA;BARRANCO CHORRILLOS SURCO;-76.97665982119155;-12.14055079037511;SI
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;02;02;35136;P.S. 6 DE JULIO;P;SAN JUAN DE MIRAFLORES - VILLA MARIA DEL TRIUNFO;LIMA SUR;I-2;SAN JUAN DE MIRAFLORES;;SAN JUAN DE MIRAFLORES;-76.978016;-12.140567;SI
036;;040;DIRIS LIMA SUR;01;;040A00;ALMACEN LOGISTICA;A;BARRANCO - CHORRILLOS - SURCO;LIMA SUR;;;;;0;0;NO
036;;040;DIRIS LIMA SUR;01;;040A01;ALMACEN ESPECIALIZADO;A;BARRANCO - CHORRILLOS - SURCO;LIMA SUR;;;;;0;0;SI
036;;040;DIRIS LIMA SUR;01;;040S01;SUB ALMACEN BARRANCO;S;BARRANCO - CHORRILLOS - SURCO;LIMA SUR;;;;;0;0;SI
036;;040;DIRIS LIMA SUR;03;;040S03;SUBALMACEN VES;S;VILLA EL SALVADOR - LURIN - PACHACAMAC - PUCUSANA;LIMA SUR;;;;;0;0;SI
036;;040;DIRIS LIMA SUR;04;;040S04;SUBALMACEN BIOLOGICOS;S;BARRANCO - CHORRILLOS - SURCO;LIMA SUR;;;;;0;0;SI
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;02;04;05614;BAYOVAR;C;SAN JUAN DE LURIGANCHO;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;02;05;05615;SU SANTIDAD JUAN PABLO II;C;SAN JUAN DE LURIGANCHO;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;02;05;05616;10 DE OCTUBRE;C;SAN JUAN DE LURIGANCHO;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;00;00;05617;HOSPITAL SAN JUAN DE LURIGANCHO;H;NO PERTENECE A NINGUNA RED;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;02;03;05618;GANIMEDES;C;SAN JUAN DE LURIGANCHO;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;02;03;05619;AYACUCHO;P;SAN JUAN DE LURIGANCHO;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;02;03;05620;MEDALLA MILAGROSA;C;SAN JUAN DE LURIGANCHO;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;02;03;05621;HUASCAR II;C;SAN JUAN DE LURIGANCHO;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;02;03;05622;HUASCAR XV;C;SAN JUAN DE LURIGANCHO;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;02;04;05623;PROYECTOS ESPECIALES;P;SAN JUAN DE LURIGANCHO;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;02;04;05624;JAIME ZUBIETA;C;SAN JUAN DE LURIGANCHO;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;02;04;05625;SANTA MARIA;C;SAN JUAN DE LURIGANCHO;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;02;04;05626;TUPAC AMARU II;P;SAN JUAN DE LURIGANCHO;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;02;05;05627;CRUZ DE MOTUPE;C;SAN JUAN DE LURIGANCHO;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;02;05;05628;JOSE CARLOS MARIATEGUI;C;SAN JUAN DE LURIGANCHO;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;02;05;05629;ENRIQUE MONTENEGRO;C;SAN JUAN DE LURIGANCHO;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;037;DIRIS LIMA CENTRO;02;05;05630;JOSE CARLOS MARIATEGUI V ETAPA;P;SAN JUAN DE LURIGANCHO;LIMA CENTRO;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;25;01;05638;LEONCIO PRADO;C;V  RIMAC-SMP-LO;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;25;01;05639;SAN JUAN DE AMANCAES;C;V  RIMAC-SMP-LO;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;25;01;05640;CIUDAD Y CAMPO;C;V  RIMAC-SMP-LO;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;25;01;05641;FLOR DE AMANCAES;C;V  RIMAC-SMP-LO;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;25;01;05642;VILLA LOS ANGELES;P;V  RIMAC-SMP-LO;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;25;01;05643;MARISCAL CASTILLA;C;V  RIMAC-SMP-LO;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;25;01;05644;RIMAC;C;V  RIMAC-SMP-LO;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;24;04;05734;RAUL PORRAS BARRENECHEA;C;TUPAC AMARU;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;24;04;05735;EL PROGRESO;C;TUPAC AMARU;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;24;04;05736;LA FLOR;C;TUPAC AMARU;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;24;04;05737;VILLA ESPERANZA;C;TUPAC AMARU;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;24;04;05738;JORGE LINGAN;P;TUPAC AMARU;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;24;04;05739;LUIS ENRIQUE;P;TUPAC AMARU;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;24;04;05740;PUNCHAUCA;P;TUPAC AMARU;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;24;04;05741;CHOCAS;P;TUPAC AMARU;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;25;02;05742;MEXICO;C;V  RIMAC-SMP-LO;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;25;02;05743;PERU IV ZONA;C;V  RIMAC-SMP-LO;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;25;02;05744;CONDEVILLA;C;V  RIMAC-SMP-LO;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;25;02;05745;AMAKELLA;C;V  RIMAC-SMP-LO;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;25;02;05746;LOS LIBERTADORES;C;V  RIMAC-SMP-LO;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;25;02;05747;VALDIVIEZO;C;V  RIMAC-SMP-LO;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;25;02;05748;SAN MARTIN DE PORRES;C;V  RIMAC-SMP-LO;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;25;02;05749;PERU III ZONA;C;V  RIMAC-SMP-LO;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;25;02;05750;CERRO LA REGLA;P;V  RIMAC-SMP-LO;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;25;02;05751;GUSTAVO LANATTA LUJAN;C;V  RIMAC-SMP-LO;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;25;01;05752;CAQUETA;C;V  RIMAC-SMP-LO;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;24;03;05753;AÐO NUEVO;C;TUPAC AMARU;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;24;03;05754;COLLIQUE III ZONA;C;TUPAC AMARU;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;24;03;05755;CENTRO MATERNO INFANTIL LAURA RODRIGUEZ;C;TUPAC AMARU;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;24;03;05756;GUSTAVO LANATTA;C;TUPAC AMARU;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;24;03;05757;SANGARARA;C;TUPAC AMARU;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;24;03;05758;PRIMAVERA;P;TUPAC AMARU;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;24;03;05759;MILAGRO DE JESUS;P;TUPAC AMARU;LIMA NORTE;;;;;;;
