medcod;mefcod;mednom;medpres;medcnc;medtip;medpet;medff;medest;medestvta;medfactper;medtranac;medtraloc;medcomp;medps;medcs;medhi;medact;medindvcto;prdpreadq;prdpredist;prdpreope;prdindact;prdstkmin;prdstkmax;prdptorep;prdsit;prdadi;prdfechult;medregsan;preadq_do;predis_do;preope_do;prdtipomed;mednomabr;mednarcot;mnarcot;tiponc;fecultprec;codigo_sig;fechavrs;prdstkprom
00002;;ABACAVIR (COMO SULFATO) + LAMIVUDINA + ZIDOVUDINA;;300 mg + 150 mg + 300 mg;M;_;TABLETA;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;6;7;8;X;;;;;16/04/2019;582400200002;;0
00004;;ABACAVIR (COMO SULFATO);;300 mg;M;P;TABLETA;E;;;;;;_;_;_;1;S;0.54826;0.616793;0.685000;;;;;1;N;1/07/2022;;;;;X;;;;;1/07/2022;582400010001;;
00056;;ACETAZOLAMIDA;;250 mg;M;P;TABLETA;_;;;;;;_;_;_;1;S;0.32;0.360000;0.400000;;;;;1;N;1/06/2022;;0;0;0;X;;;;;1/06/2022;580500160001;;
00070;;ACETILCISTEINA;1 g;100 mg;M;_;GRANULOS;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;1.422222;1.6;1.8;S;;;;;16/04/2019;585000530005;;0
00071;;ACETILCISTEINA;1 g;200 mg;M;_;GRANULOS;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;;585000530006;;0
00072;;ACETILCISTEINA;3 mL;300 mg;M;_;INYECTABLE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;7.190124;8.088889;9.1;X;;;;;16/04/2019;580400080001;;0
00091;;ACIDO ACETILSALICILICO;;100 mg;M;P;TABLETA;_;;;;;;_;_;_;1;S;0.0275;0.029999;0.030000;;;;;1;N;1/07/2022;;0;0;0;X;;;;;1/07/2022;580200500001;;
00093;;ACIDO ACETILSALICILICO;;25 mg;M;_;TABLETA;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;;;;1;N;16/08/2019;;;;;X;;;;;;580200500004;;
00095;;ACIDO ACETILSALICILICO;;500 mg;M;P;TABLETA;_;;;;;;_;_;_;1;S;0.348106;0.417727;0.420000;;;;;1;N;16/08/2019;;0;0;0;X;;;;;;580200500002;;
00111;;ACICLOVIR (UNGÜENTO OFTALMICO);3.5 g;3 g/100 g (3 %);M;P;UNGÜENTO;_;;;;;;_;_;_;1;S;8.854;9.385000;10.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;;584400580002;;0
00114;;ACICLOVIR (UNGÜENTO OFTALMICO);5 g;3 g/100 g (3 %);M;P;UNGÜENTO;_;;;;;;_;_;_;1;S;8.37;9.207000;9.400000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;18/12/2017;584400580001;;0
00119;;ACICLOVIR;15 g;5 g/100 g;M;_;CREMA;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;;582400320013;;0
00132;;ACICLOVIR (COMO SAL SODICA);10 mL;250 mg;M;P;INYECTABLE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;;;;1;N;16/08/2019;;;;;X;;;;;;582400320002;;
00143;;ACICLOVIR;;200 mg;M;P;TABLETA;_;;;;;;_;_;_;1;S;0.2004;0.212430;0.230000;;;;;1;N;16/08/2019;;0;0;0;X;;;;;;582400320003;;
00145;;ACICLOVIR;;400 mg;M;P;TABLETA;S;1;;;;;_;_;_;1;S;0;0.000000;0.000000;;;;;1;N;16/08/2019;;0;0;0;X;;;;;16/04/2019;582400320014;;
00200;;ACIDO FOLICO;;500 µg (0.5 mg);M;P;TABLETA;_;;;;;;_;_;_;1;S;0.02;0.020000;0.020000;;;;;1;N;5/09/2022;;0;0;0;X;;;;;5/09/2022;582800250001;;
00202;;ACIDO FUSIDICO;15 g;2 g/100 g (2 %);M;P;CREMA;_;;;;;;_;_;_;1;S;7.5;8.437500;9.380000;;;;;1;N;1/07/2021;;0;0;0;X;;;;;;583300110001;;
00218;;ACIDO PAMIDRONICO (PAMIDRONATO DISODICO);;90 mg;M;P;INYECTABLE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;16/04/2019;586800080001;;0
00223;;ACIDO TRANEXAMICO;10 mL;1 g;M;P;INYECTABLE;_;;;;;;_;_;_;1;S;9;10.125000;11.250000;;;;;1;N;1/07/2021;;0;0;0;X;;;;;;582800020004;;
00225;;ACIDO TRANEXAMICO;;250 mg;M;P;TABLETA;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;16/04/2019;582800020002;;0
